"country","avg_sentiment","hashtag"
"Saint Lucia",0.0926382006554321,"#Biden"
"Samoa",0,"#Biden"
"Saudi Arabia",0.0429827150796802,"#Biden"
"Senegal",0.00406391311299319,"#Biden"
"Serbia",0.010715019811768,"#Biden"
"Seychelles",0.135168039083117,"#Biden"
"Sierra Leone",0.00108446989497866,"#Biden"
"Singapore",0.0567953285448852,"#Biden"
"Slovakia",0.0527844251848164,"#Biden"
"Slovenia",0.0333481024043533,"#Biden"
"Somalia",0.0467258029513091,"#Biden"
"South Africa",0.0463473991618722,"#Biden"
"South Korea",0.0405376080972264,"#Biden"
"South Sudan",0.0235469525587256,"#Biden"
"Spain",-0.00180965108505075,"#Biden"
"Sri Lanka",0.0924027406141563,"#Biden"
"Sudan",0.0576928277625959,"#Biden"
"Suriname",0.0684816941474745,"#Biden"
"Sweden",0.0175777937300845,"#Biden"
"Switzerland",-0.0168961687178541,"#Biden"
"Syria",0.045515065526392,"#Biden"
"Taiwan",-0.000212437500919952,"#Biden"
"Tajikistan",0.0484175499914792,"#Biden"
"Tanzania",0.0467669316889443,"#Biden"
"Thailand",0.0251361268721776,"#Biden"
"The Bahamas",0.0622405189572964,"#Biden"
"The Gambia",0.0866270720999044,"#Biden"
"The Netherlands",-0.00685568169692217,"#Biden"
"Trinidad and Tobago",0.139285539798412,"#Biden"
"Tunisia",0.00472492660032753,"#Biden"
"Turkey",-0.00485992492300322,"#Biden"
"Turks and Caicos Islands",0.102430953125711,"#Biden"
"Uganda",0.0635072836378796,"#Biden"
"Ukraine",0.0439177757867614,"#Biden"
"United Arab Emirates",0.0668206790047414,"#Biden"
"United Kingdom",0.0404989187164074,"#Biden"
"United States",0.00199015219329218,"#Biden"
"United States of America",0.0203744620462952,"#Biden"
"Uruguay",-0.00330262602944205,"#Biden"
"Uzbekistan",0.0964727539546103,"#Biden"
"Vanuatu",-0.14142135623731,"#Biden"
"Vatican City",0.0039588460726312,"#Biden"
"Venezuela",-0.0176289186511246,"#Biden"
"Vietnam",0.0101577969379005,"#Biden"
"Yemen",0.0431958002463919,"#Biden"
"Zambia",0.104470850087458,"#Biden"
"Zimbabwe",0.0408458521556489,"#Biden"
"",-0.0332087735931941,"#Trump"
"Afghanistan",0.00566781060146945,"#Trump"
"Albania",-0.0370634234494085,"#Trump"
"Algeria",-0.0603144530592392,"#Trump"
"Angola",-0.0150224593886194,"#Trump"
"Anguilla",-0.210821773656961,"#Trump"
"Antigua and Barbuda",-0.190065778087482,"#Trump"
"Argentina",-0.0247157748051883,"#Trump"
"Armenia",-9.28592017546427e-05,"#Trump"
"Australia",-0.0311955773087567,"#Trump"
"Austria",-0.0502035970620698,"#Trump"
"Azerbaijan",-0.0232637872682581,"#Trump"
"Bahamas",0.00619623769206941,"#Trump"
"Bahrain",-0.00866694689239501,"#Trump"
"Bangladesh",0.0565538334873279,"#Trump"
"Barbados",0.0432314477755303,"#Trump"
"Belarus",-0.155948748037163,"#Trump"
"Belgium",-0.0274643116047515,"#Trump"
"Belize",-0.113365805900538,"#Trump"
"Benin",-0.375588427226754,"#Trump"
"Bolivia",-0.0386536840864128,"#Trump"
"Bosnia and Herzegovina",-0.0364001623006381,"#Trump"
"Brazil",-0.0158168252064574,"#Trump"
"British Virgin Islands",-0.190042567024249,"#Trump"
"Bulgaria",0.0192000637739632,"#Trump"
"Burkina Faso",-0.0426040867292669,"#Trump"
"California",0,"#Trump"
