"hour","avg_engagement"
"00",9.14081238749973
"01",7.86654800544446
"02",7.50592938338879
"03",10.4642988123113
"04",11.0663181429605
"05",11.7317775264727
"06",12.0116626269013
"07",10.4845681811312
"08",9.77632041634433
"09",11.2711757269279
"10",8.63625291062153
"11",8.64850083644319
"12",8.91387245233399
"13",8.45939591246157
"14",8.85060297942776
"15",9.09554335894621
"16",10.0104674213091
"17",9.86663266816918
"18",10.0966774731556
"19",8.34531307139084
"20",7.86387235659111
"21",7.91314548890965
"22",7.85114727494027
"23",7.67608627556272
