"country","avg_sentiment","tweet_count","hashtag"
"Papua New Guinea",0.103734555059271,87,"#Biden"
"Paraguay",-0.0169200484350854,210,"#Biden"
"Peru",-0.00250077027212367,1689,"#Biden"
"Philippines",0.0743423554057342,1137,"#Biden"
"Poland",0.000111735765309624,696,"#Biden"
"Portugal",0.0193645400021226,1263,"#Biden"
"Puerto Rico",0,9,"#Biden"
"Qatar",0.0503147094350979,428,"#Biden"
"Republic of the Congo",-0.109175166467294,4,"#Biden"
"Romania",0.0487588489408829,132,"#Biden"
"Russia",0.00708749075151028,876,"#Biden"
"Rwanda",0.0659305409620489,169,"#Biden"
"Saint Kitts and Nevis",-0.0578752029426984,13,"#Biden"
"Saint Lucia",0.0926382006554321,1,"#Biden"
"Samoa",0,2,"#Biden"
"Saudi Arabia",0.0429827150796802,1246,"#Biden"
"Senegal",0.00406391311299319,209,"#Biden"
"Serbia",0.010715019811768,295,"#Biden"
"Seychelles",0.135168039083117,11,"#Biden"
"Sierra Leone",0.00108446989497866,53,"#Biden"
"Singapore",0.0567953285448852,1378,"#Biden"
"Slovakia",0.0527844251848164,122,"#Biden"
"Slovenia",0.0333481024043533,58,"#Biden"
"Somalia",0.0467258029513091,122,"#Biden"
"South Africa",0.0463473991618722,3248,"#Biden"
"South Korea",0.0405376080972264,374,"#Biden"
"South Sudan",0.0235469525587256,5,"#Biden"
"Spain",-0.00180965108505075,7251,"#Biden"
"Sri Lanka",0.0924027406141563,637,"#Biden"
"Sudan",0.0576928277625959,93,"#Biden"
"Suriname",0.0684816941474745,19,"#Biden"
"Sweden",0.0175777937300845,2988,"#Biden"
"Switzerland",-0.0168961687178541,3047,"#Biden"
"Syria",0.045515065526392,107,"#Biden"
"Taiwan",-0.000212437500919952,410,"#Biden"
"Tajikistan",0.0484175499914792,7,"#Biden"
"Tanzania",0.0467669316889443,93,"#Biden"
"Thailand",0.0251361268721776,758,"#Biden"
"The Bahamas",0.0622405189572964,80,"#Biden"
"The Gambia",0.0866270720999044,42,"#Biden"
"The Netherlands",-0.00685568169692217,9587,"#Biden"
"Trinidad and Tobago",0.139285539798412,133,"#Biden"
"Tunisia",0.00472492660032753,484,"#Biden"
"Turkey",-0.00485992492300322,10368,"#Biden"
"Turks and Caicos Islands",0.102430953125711,4,"#Biden"
"Uganda",0.0635072836378796,398,"#Biden"
"Ukraine",0.0439177757867614,226,"#Biden"
"United Arab Emirates",0.0668206790047414,2140,"#Biden"
"United Kingdom",0.0404989187164074,58049,"#Biden"
"United States",0.00199015219329218,61903,"#Biden"
"United States of America",0.0203744620462952,332492,"#Biden"
"Uruguay",-0.00330262602944205,389,"#Biden"
"Uzbekistan",0.0964727539546103,22,"#Biden"
"Vanuatu",-0.14142135623731,3,"#Biden"
"Vatican City",0.0039588460726312,22,"#Biden"
"Venezuela",-0.0176289186511246,4333,"#Biden"
"Vietnam",0.0101577969379005,283,"#Biden"
"Yemen",0.0431958002463919,130,"#Biden"
"Zambia",0.104470850087458,71,"#Biden"
"Zimbabwe",0.0408458521556489,119,"#Biden"
"Afghanistan",0.00566781060146945,220,"#Trump"
"Albania",-0.0370634234494085,135,"#Trump"
"Algeria",-0.0603144530592392,73,"#Trump"
"Angola",-0.0150224593886194,78,"#Trump"
"Anguilla",-0.210821773656961,5,"#Trump"
"Antigua and Barbuda",-0.190065778087482,5,"#Trump"
"Argentina",-0.0247157748051883,4404,"#Trump"
"Armenia",-9.28592017546427e-05,197,"#Trump"
"Australia",-0.0311955773087567,14899,"#Trump"
"Austria",-0.0502035970620698,2151,"#Trump"
"Azerbaijan",-0.0232637872682581,807,"#Trump"
"Bahamas",0.00619623769206941,32,"#Trump"
"Bahrain",-0.00866694689239501,402,"#Trump"
"Bangladesh",0.0565538334873279,3507,"#Trump"
"Barbados",0.0432314477755303,42,"#Trump"
"Belarus",-0.155948748037163,11,"#Trump"
"Belgium",-0.0274643116047515,3823,"#Trump"
"Belize",-0.113365805900538,15,"#Trump"
"Benin",-0.375588427226754,3,"#Trump"
"Bolivia",-0.0386536840864128,373,"#Trump"
"Bosnia and Herzegovina",-0.0364001623006381,532,"#Trump"
"Brazil",-0.0158168252064574,8735,"#Trump"
"British Virgin Islands",-0.190042567024249,10,"#Trump"
"Bulgaria",0.0192000637739632,252,"#Trump"
"Burkina Faso",-0.0426040867292669,25,"#Trump"
"California",0,2,"#Trump"
"Cambodia",-0.110815227414422,152,"#Trump"
"Cameroon",-0.0584062991193376,168,"#Trump"
"Canada",-0.0372250669171232,27805,"#Trump"
"Cape Verde",-0.165973984067272,2,"#Trump"
"Cayman Islands",-0.111987609853012,8,"#Trump"
"Chile",-0.0365027883051904,3844,"#Trump"
"China",-0.0854020074905395,2663,"#Trump"
"Colombia",-0.0314895004266855,4425,"#Trump"
"Congo",-0.101748028992779,5,"#Trump"
"Congo-Brazzaville",0.00888229816776666,26,"#Trump"
"Costa Rica",-0.0232098891065617,1233,"#Trump"
"Croatia",-0.0287274482564184,44,"#Trump"
"Cuba",-0.017210109168726,1437,"#Trump"
"Cyprus",-0.0252734538844755,333,"#Trump"
"Czech Republic",0.0155191399755057,422,"#Trump"
"Côte d'Ivoire",0.0165866226704286,30,"#Trump"
"Democratic Republic of the Congo",-0.0114985598327833,14,"#Trump"
"Denmark",-0.0241627274702014,1015,"#Trump"
"Djibouti",-0.0756545834233061,17,"#Trump"
"Dominica",0.00334457125971513,5,"#Trump"
"Dominican Republic",-0.0155198470657956,1139,"#Trump"
"Ecuador",-0.0181896899322069,1696,"#Trump"
"Egypt",-0.00757330923310501,2364,"#Trump"
"El Salvador",-0.0237963045910693,698,"#Trump"
"England",0,2,"#Trump"
"Estonia",1.81939308465644e-06,156,"#Trump"
"Ethiopia",-0.0450354492830625,508,"#Trump"
"Falkland Islands",-0.0525731618638511,19,"#Trump"
"Faroe Islands",0.0975665901731064,10,"#Trump"
"Federated States of Micronesia",0.0748232216883678,5,"#Trump"
"Fiji",-0.070720547884386,44,"#Trump"
"Finland",-0.0254443005214048,2374,"#Trump"
"Florida",0,1,"#Trump"
"France",-0.025830114891271,35292,"#Trump"
"Gabon",-0.119739742145629,4,"#Trump"
"Georgia",-0.028154339130568,3107,"#Trump"
"Germany",-0.0618552661175919,35379,"#Trump"
"Ghana",0.0249502879625093,558,"#Trump"
"Gibraltar",0.0526056850492293,23,"#Trump"
"Greece",-0.0378640437886705,2119,"#Trump"
"Greenland",-0.0685260740290019,52,"#Trump"
"Grenada",0.0313914817291523,31,"#Trump"
"Guatemala",-0.0281482999697398,657,"#Trump"
"Guinea",-0.0268397301689717,21,"#Trump"
"Guyana",-0.0270028432187348,28,"#Trump"
"Haiti",-0.0234810253185782,230,"#Trump"
"Honduras",-0.0224408581265067,803,"#Trump"
"Hong Kong",-0.00936518772785514,42,"#Trump"
"Hungary",-0.00553841352015947,350,"#Trump"
"Iceland",-0.0770322854211812,159,"#Trump"
"India",0.0118722706128492,40088,"#Trump"
"Indonesia",-0.0133668900160344,1842,"#Trump"
"Iran",-0.0267792909523703,1388,"#Trump"
"Iraq",-0.00880778546125391,631,"#Trump"
"Ireland",-0.0306568889381199,5452,"#Trump"
"Isle of Man",-0.234444224512919,5,"#Trump"
"Israel",-0.00675489010729996,1425,"#Trump"
"Italy",-0.024768535731913,20073,"#Trump"
"Jamaika",0.0278341365791246,348,"#Trump"
"Japan",-0.014366429402525,1171,"#Trump"
"Jersey",-0.0555971991870484,342,"#Trump"
"Jordan",0.000145968619308331,95,"#Trump"
"Kazakhstan",-0.0162346941981145,35,"#Trump"
"Kenya",0.0153802978601187,1693,"#Trump"
"Kiribati",0.0599754066928427,2,"#Trump"
"Kosovo",0.0409585806272094,110,"#Trump"
"Kuwait",-0.00653054271879114,269,"#Trump"
"Laos",-0.0818249638170897,21,"#Trump"
"Latvia",0.0293917418558379,64,"#Trump"
"Lebanon",-0.0227079562425195,1834,"#Trump"
"Liberia",-0.0504375958155903,142,"#Trump"
"Libya",0.00237418020191504,194,"#Trump"
"Liechtenstein",-0.0662598635624574,6,"#Trump"
"Lithuania",0.0121176821080275,211,"#Trump"
"Luxembourg",-0.0148527540285585,285,"#Trump"
"Madagascar",0.00231738831356344,5,"#Trump"
"Malaysia",-0.0202917380141201,1398,"#Trump"
"Maldives",-0.043751131949995,78,"#Trump"
"Malta",0.0191623842744655,216,"#Trump"
"Mauritius",-0.0222136075225049,16,"#Trump"
"Mexico",-0.0223689181946583,10899,"#Trump"
"Moldova",0.0435610863321022,18,"#Trump"
"Monaco",-0.0451296954065352,89,"#Trump"
"Mongolia",-0.0125631936547762,273,"#Trump"
"Montenegro",-0.018819463040662,11,"#Trump"
"Morocco",-0.00607875191376814,296,"#Trump"
"Myanmar",0.042952445202191,75,"#Trump"
"Namibia",0.0610991827286066,24,"#Trump"
"Nepal",0.0464107624017252,338,"#Trump"
"Netherlands",-0.0265761278871367,5279,"#Trump"
"New Zealand",-0.0388910038143627,1597,"#Trump"
"Nicaragua",-0.022241447005651,343,"#Trump"
"Niger",0.0531623446313706,17,"#Trump"
"Nigeria",0.0286194351034512,3810,"#Trump"
"North Korea",0.100269167978429,25,"#Trump"
"North Macedonia",-0.0288469304139563,21,"#Trump"
"Northern Mariana Islands",0.252312758696496,1,"#Trump"
"Norway",-0.0300080158536766,2036,"#Trump"
"Oman",0.0478779557154556,166,"#Trump"
"Pakistan",0.0204038913617061,8597,"#Trump"
"Palestinian Territory",-0.0603051397690527,114,"#Trump"
"Panama",-0.0193204643269308,246,"#Trump"
"Papua New Guinea",0.0133953223755778,87,"#Trump"
"Paraguay",-0.0221785531600242,210,"#Trump"
"Peru",-0.0257206967859572,1689,"#Trump"
"Philippines",-0.0440102813492628,1137,"#Trump"
"Poland",-0.0144162382922596,696,"#Trump"
"Portugal",-0.0424243218901652,1263,"#Trump"
"Puerto Rico",-0.141084198344491,9,"#Trump"
"Qatar",0.0120797911905453,428,"#Trump"
"Republic of the Congo",-0.0214914658518898,4,"#Trump"
"Romania",-0.029590642906192,132,"#Trump"
"Russia",-0.0421053306277182,876,"#Trump"
"Rwanda",-0.0048901111113232,169,"#Trump"
"Saint Kitts and Nevis",-0.0910897101746183,13,"#Trump"
"Samoa",0,2,"#Trump"
"Saudi Arabia",0.0133755477741292,1246,"#Trump"
"Senegal",-0.0228140298776955,209,"#Trump"
"Serbia",-0.0298540506960464,295,"#Trump"
"Seychelles",0.0267838780281266,11,"#Trump"
"Sierra Leone",0.00712699045075111,53,"#Trump"
"Singapore",-0.0309286869950897,1378,"#Trump"
"Slovakia",-0.066313417105458,122,"#Trump"
"Slovenia",-0.0572064387522463,58,"#Trump"
"Somalia",-0.00829867002978547,122,"#Trump"
"South Africa",-0.000321710575793047,3248,"#Trump"
"South Korea",-0.0222625272974896,374,"#Trump"
"South Sudan",0.1538523849078,5,"#Trump"
"Spain",-0.0268211320803529,7251,"#Trump"
"Sri Lanka",0.0289362753811868,637,"#Trump"
"Sudan",-0.013347757031277,93,"#Trump"
"Suriname",-0.0999742033906533,19,"#Trump"
"Sweden",-0.0697271871400381,2988,"#Trump"
"Switzerland",-0.042585545820011,3047,"#Trump"
"Syria",-0.0751322114605331,107,"#Trump"
"Taiwan",-0.00452440820517232,410,"#Trump"
"Tajikistan",-0.00685005881152639,7,"#Trump"
"Tanzania",-0.00946745302860356,93,"#Trump"
"Thailand",-0.0256710059670155,758,"#Trump"
"The Bahamas",-0.0179226720931248,80,"#Trump"
"The Gambia",-0.00232091720483162,42,"#Trump"
"The Netherlands",-0.0371483072457841,9587,"#Trump"
"Tonga",-0.077572170009433,2,"#Trump"
"Trinidad and Tobago",-0.0612500842827275,133,"#Trump"
"Tunisia",-0.0178768572738196,484,"#Trump"
"Turkey",-0.0209350836826558,10368,"#Trump"
"Turks and Caicos Islands",0.0357602332275888,4,"#Trump"
"Uganda",-0.00413483707590102,398,"#Trump"
"Ukraine",-0.00554743404484647,226,"#Trump"
"United Arab Emirates",0.0206241073983567,2140,"#Trump"
"United Kingdom",-0.0256072334073228,58049,"#Trump"
"United States",-0.0364372605994377,61903,"#Trump"
"United States of America",-0.036154111225084,332492,"#Trump"
"Uruguay",-0.0262647767350908,389,"#Trump"
"Uzbekistan",0.0641891478826713,22,"#Trump"
"Vanuatu",-0.295710678118655,3,"#Trump"
"Vatican City",-0.00500650074939568,22,"#Trump"
"Venezuela",-0.0248881689142671,4333,"#Trump"
"Vietnam",-0.0325202614638915,283,"#Trump"
"Yemen",-0.0584007856533768,130,"#Trump"
"Zambia",-0.0220806542855167,71,"#Trump"
"Zimbabwe",0.0109477624233044,119,"#Trump"
